Date,Stock_Ticker,Market_Cap,HA_Close,EMA_89
2022-06-01,ITC,Large Cap,244.73,185.74
2022-06-01,CIPLA,Mid Cap,926.92,660.59
2022-06-01,AXISBANK,Large Cap,656.27,591.42
2022-06-01,KOTAKBANK,Large Cap,1746.62,1345.88
2022-06-01,GRASIM,Mid Cap,1340.97,984.79
2022-06-01,RELIANCE,Large Cap,1193.53,680.43
2022-06-01,ASIANPAINT,Large Cap,2665.71,1791.76
2022-05-01,LT,Large Cap,1565.69,1196.02
2022-05-01,TITAN,Large Cap,2251.34,1190.46
2022-05-01,ULTRACEMCO,Large Cap,6141.88,4579.28
2022-05-01,POWERGRID,Large Cap,149.84,84.8
2022-05-01,SUNPHARMA,Large Cap,859.07,583.0
2022-05-01,AXISBANK,Large Cap,690.98,589.88
2022-05-01,BHARTIARTL,Large Cap,695.15,446.76
2022-05-01,JSWSTEEL,Mid Cap,603.95,334.39
2022-05-01,KOTAKBANK,Large Cap,1820.09,1336.36
2022-05-01,SBIN,Large Cap,441.42,293.16
2022-05-01,NTPC,Large Cap,137.56,95.24
2022-05-01,ITC,Large Cap,235.05,184.34
2022-05-01,NESTLEIND,Large Cap,842.19,599.93
2022-05-01,INFY,Large Cap,1384.88,850.53
2022-05-01,RELIANCE,Large Cap,1202.39,668.23
2022-05-01,HDFCBANK,Large Cap,635.03,499.81
2022-05-01,ADANIPORTS,Mid Cap,763.0,440.64
2022-05-01,MARUTI,Large Cap,7425.5,6055.37
2022-05-01,CIPLA,Mid Cap,941.61,654.26
2022-05-01,ASIANPAINT,Large Cap,2889.96,1770.98
2022-05-01,GRASIM,Mid Cap,1506.62,976.32
2022-05-01,HINDUNILVR,Large Cap,2137.76,1610.88
2022-05-01,TATAMOTORS,Mid Cap,418.09,302.21
2022-05-01,WIPRO,Large Cap,234.0,159.71
2022-05-01,TCS,Large Cap,3212.15,2098.3
2022-04-01,HDFCBANK,Large Cap,688.11,496.6
2022-04-01,MARUTI,Large Cap,7405.15,6022.76
2022-04-01,JSWSTEEL,Mid Cap,704.34,327.97
2022-04-01,KOTAKBANK,Large Cap,1759.39,1324.84
2022-04-01,BHARTIARTL,Large Cap,732.13,440.85
2022-04-01,NTPC,Large Cap,133.8,94.23
2022-04-01,SUNPHARMA,Large Cap,897.0,576.43
2022-04-01,TCS,Large Cap,3444.61,2071.79
2022-04-01,SBIN,Large Cap,465.47,289.63
2022-04-01,NESTLEIND,Large Cap,852.87,594.16
2022-04-01,WIPRO,Large Cap,263.07,157.94
2022-04-01,AXISBANK,Large Cap,754.3,587.48
2022-04-01,ITC,Large Cap,228.7,183.14
2022-04-01,ASIANPAINT,Large Cap,3037.17,1744.35
2022-04-01,LT,Large Cap,1674.45,1187.22
2022-04-01,POWERGRID,Large Cap,145.17,83.25
2022-04-01,GRASIM,Mid Cap,1676.69,963.7
